Year,Rank,Company,Revenue (in millions),Profit (in millions)
1964,436,Ekco Products,106.2,6.4
1964,437,Woodward Iron,105.8,6.5
1964,438,Standard Pressed Steel,105.5,1.1
1964,439,Cabot,105.4,10.8
1964,440,MacMillan,105.2,4.4
1964,441,General Steel Industries,104.5,4.9
1964,442,Canada Dry,104.3,3.7
1964,443,Commonwealth Oil Refining,104.3,10.6
1964,444,Rohr,104.2,2
1964,445,Wagner Electric,103.9,2.6
1964,446,Clevite,103.1,6.9
1964,447,Seaboard,102.9,0.9
1964,448,Handy & Harman,102.4,1.1
1964,449,Farmers Union Central Exchange,101.8,9.4
1964,450,Arvin Industries,101.6,4.3
1964,451,Copperweld Steel,101.4,3.7
1964,452,New York Times,101.3,1.1
1964,453,Flavorland Industries,101,0.3
1964,454,Eastern States Farmers' Exch.,99,1.9
1964,455,P.R. Mallory,98.1,6.3
1964,456,Briggs & Stratton,98,10.6
1964,457,Jonathan Logan,97.5,4.3
1964,458,Universal Match,97.1,3.1
1964,459,Joy Technologies,96.9,3.3
1964,460,Lily-Tulip Cup,96.8,5.1
1964,461,Harbison-Walker Refractories,96.8,7.8
1964,462,Lukens Steel,96.8,5.1
1964,463,Pepperell Manufacturing,96.5,3.8
1964,464,Cessna Aircraft,96.4,4.2
1964,465,U.S. Industries,96,-5.5
1964,466,Chicago Pneumatic Tool,95.3,9.6
1964,467,Raybestos-Manhattan,95.2,4.4
1964,468,Federal Pacific Electric,95,1.7
1964,469,American Biltrite Rubber,94.8,3.2
1964,470,Gardner-Denver,94.8,9.4
1964,471,Federal Paper Board,94.3,1.9
1964,472,Ampex,93.3,5
1964,473,Island Creek Coal,93.2,4.3
1964,474,Hobart,92.8,6.5
1964,475,Miehle-Goss-Dexter,92.7,3.9
1964,476,Schering-Plough,92.6,10.5
1964,477,Gould-National Batteries,92.5,4.1
1964,478,Mead Johnson,92.3,4.3
1964,479,Ceco Industries,91.7,2.6
1964,480,Bucyrus-Erie,91.5,3.2
1964,481,Detroit Steel,91.2,4.6
1964,482,Duncan Foods,91.2,1.8
1964,483,Savannah Sugar Refining,91,2.7
1964,484,Rexnord,90.8,4
1964,485,U.S. Shoe,90.4,5.4
1964,486,Pitney Bowes,90.4,7.4
1964,487,Bond Stores,90.3,2.1
1964,488,Atlas Chemical Industries,90.2,4.1
1964,489,Insilco,89.6,3.8
1964,490,Northwestern Steel & Wire,89,4.7
1964,491,Harsco,88.8,8.4
1964,492,Harris,88.5,6.5
1964,493,Bibb Manufacturing,88,2.1
1964,494,Bigelow-Sanford,87.6,3
1964,495,Cooper Industries,87.1,3.3
1964,496,Masonite,86.8,6.2
1964,497,Robertson-Ceco,86.2,2.4
1964,498,Commercial Solvents,86.2,6
1964,499,Consolidated Papers,86.2,5.2
1964,500,Permanente Cement,86,7.7
1965,1,General Motors,16997,1734.8
1965,2,Exxon Mobil,10814.7,1050.6
1965,3,Ford Motor,9670.8,505.6
1965,4,General Electric,4941.4,237.3
1965,5,Mobil,4499.4,294.2
1965,6,Chrysler,4287.3,213.8
1965,7,U.S. Steel,4077.5,236.8
1965,8,Texaco,3573.8,577.4
1965,9,Intl. Business Machines,3239.4,431.2
1965,10,Gulf Oil,3174.3,395.1
1965,11,AT&T Technologies,3117.2,152.8
1965,12,DuPont,2786.5,471.4
1965,13,Esmark,2610.1,25.1
1965,14,Shell Oil,2331.9,198.2
1965,15,Amoco,2317.6,194.9
1965,16,ChevronTexaco,2285.7,345.3
1965,17,CBS,2271.2,76.7
1965,18,Bethlehem Steel,2240.7,147.9
1965,19,Navistar International,2190.4,98.7
1965,20,Rockwell Automation,2187.2,49.3
1965,21,Goodyear Tire & Rubber,2010.6,100.2
1965,22,Boeing,1969.5,45.3
1965,23,Kraft,1919.9,63.8
1965,24,Procter & Gamble,1913.7,130.8
1965,25,Armour,1887,22.8
1965,26,Union Carbide,1878.9,221.7
1965,27,RCA,1797,82.5
1965,28,General Telephone & Electronics,1773.6,136.5
1965,29,Lockheed Martin,1601,45.1
1965,30,General Dynamics,1579.9,42.6
1965,31,ITT Industries,1542.1,63.2
1965,32,Firestone Tire & Rubber,1448.8,79
1965,33,Monsanto,1358.7,114.9
1965,34,ConocoPhillips,1341.5,115
1965,35,General Foods,1338,83.5
1965,36,Borden Chemical,1293.4,45.5
1965,37,Sperry,1278.6,28.2
1965,38,Republic Steel,1272.7,72.3
1965,39,Conoco,1267.6,100.1
1965,40,International Paper,1245.9,81.3
1965,41,Eastman Kodak,1237.2,187.2
1965,42,United Technologies,1235.9,29.1
1965,43,American Can,1225.8,46.9
1965,44,Burlington Industries Equity,1206.4,50.9
1965,45,Continental Group,1198.1,48.9
1965,46,Sinclair Oil,1187.3,58.7
1965,47,Citgo Petroleum,1170.4,84.5
1965,48,Caterpillar,1161,123.8
1965,49,Uniroyal,1086.6,30.1
1965,50,Dow Chemical,1077.5,93.8
1965,51,ARMCO,1063.5,80.4
1965,52,Honeywell Intl.,1043.1,81
1965,53,Alcoa,1036.9,60.8
1965,54,GenCorp,1027.2,36.9
1965,55,American Motors,1009.5,26.2
1965,56,National Intergroup,966.1,84.9
1965,57,Jones & Laughlin Steel,946.6,60.1
1965,58,Nabisco Group Holdings,937.6,124
1965,59,3M,903.9,102.3
1965,60,Singer,896.2,52.8
1965,61,Anaconda,895,57.2
1965,62,Bestfoods,894.2,49.5
1965,63,Ryerson Tull,873.7,71.1
1965,64,Goodrich,872.4,34
1965,65,McDonnell Douglas,865.4,24.5
1965,66,Ralston Purina,864.8,24.4
1965,67,Sunoco,838.3,68.5
1965,68,Coca-Cola,833.6,65.3
1965,69,FMC,830.1,44.5
1965,70,PPG Industries,827.6,49
1965,71,Deere,816.6,59.4
1965,72,Olin,815.7,41.3
1965,73,Sealed Air,815,40
1965,74,Colgate-Palmolive,806.6,25.9
1965,75,American Cyanamid,779,81.6
1965,76,Martin Marietta,767.1,37.2
1965,77,Wilson,766.4,12.6
1965,78,Bendix,742.3,23.9
1965,79,Youngstown Sheet & Tube,725.9,53.8
1965,80,Textron,720.2,22.1
1965,81,BorgWarner,719.3,41.8
1965,82,Celanese,700.8,54.9
1965,83,Owens-Illinois,693.6,42.7
1965,84,Fortune Brands,689.2,73.2
1965,85,Litton Industries,686.1,29.8
1965,86,J.P. Stevens,684.7,17.1
1965,87,NL Industries,683.6,56.2
1965,88,Tidewater Oil,675,48.7
1965,89,Honeywell,667.2,41.4
1965,90,NCR,665.8,22.5
1965,91,Crown Zellerbach,663.8,56.7
1965,92,Weyerhaeuser,663.3,67.6
1965,93,Campbell Soup,660.4,48.2
1965,94,Morrell (John),655.7,4.7
1965,95,Douglas Aircraft,650.1,13.7
1965,96,Atlantic Richfield,636.3,47.1
1965,97,Allis-Chalmers,629.1,12.7
1965,98,Reynolds Metals,620.1,36.6
1965,99,St. Regis,616.6,26.9
1965,100,Standard Brands,614.6,23.6
1965,101,Asarco,608,45
1965,102,Nabisco Brands,607.5,36.5
1965,103,Beatrice,606.2,14.7
1965,104,Pure Oil,605.2,31.5
1965,105,Signal Companies,604.8,27.6
1965,106,Grumman,598.4,10.7
1965,107,Whirlpool,590.8,29.3
1965,108,Genesco,589.2,13.2
1965,109,Wyeth,571,61.5
1965,110,Unocal,567.7,67.1
1965,111,Eaton,559.4,32.3
1965,112,American Standard,558.9,20.7
1965,113,Kimberly-Clark,554.7,35.8
1965,114,TRW,553.4,23.4
1965,115,White Motor,550.7,18.1
1965,116,Kennecott,544,66.1
1965,117,General Mills,541.3,17.2
1965,118,Hercules,531,38
1965,119,BP America,529.4,43.8
1965,120,United Merchants & Mfrs.,522.6,14.1
1965,121,Kaisertech,515.9,28.6
1965,122,Mead,509.5,17.9
1965,123,Quantum Chemical,499.4,27.1
1965,124,Pullman,499,14.6
1965,125,Marathon Oil,496.4,60.4
1965,126,Continental Baking,493.4,9.2
1965,127,H.J. Heinz,488.2,14.5
1965,128,Ogden,482.7,5.6
1965,129,Georgia-Pacific,481,36.2
1965,130,Pfizer,480.1,44.7
1965,131,Carnation,477.3,16.5
1965,132,Sunray DX Oil,464,35.2
1965,133,Manville,458.9,32.1
1965,134,Hygrade Food Products,454.3,2.5
1965,135,Raytheon,454.1,8.2
1965,136,Pillsbury,446.4,9
1965,137,AMAX,438.2,45.6
1965,138,Lever Brothers,436.4,15.3
1965,139,Avco,431.1,22.6
1965,140,Babcock & Wilcox,431,25.2
1965,141,McGraw-Edison,422.2,22.3
1965,142,Altria Group,421.5,22.6
1965,143,Motorola,419.1,20.7
1965,144,Foremost Dairies,416.6,7.2
1965,145,Amstar,412.9,7.6
1965,146,Pet,412.5,26.5
1965,147,Hormel Foods,411.8,5.7
1965,148,Del Monte Foods,409.8,18
1965,149,Norton Simon,401.8,9.6
1965,150,AMF,395.2,18.5
1965,151,Central Soya,394.8,7.9
1965,152,Ashland,394.4,23.7
1965,153,Container Corp. of America,390.6,23.1
1965,154,Unisys,390.2,10.2
1965,155,Kaiser Industries,389.5,-3.8
1965,156,Phelps Dodge,389.4,55.1
1965,157,Champion Papers,386,16.8
1965,158,Scott Paper,385.4,40.2
1965,159,Johnson & Johnson,384.5,24.8
1965,160,Quaker Oats,384.2,15.2
1965,161,Champion International,383,15
1965,162,IPL,377.6,-2
1965,163,Anheuser-Busch,376.2,19.6
1965,164,Otis Elevator,373.3,3.7
1965,165,Dana,364.8,26.6
1965,166,Zenith Electronics,362.3,24.3
1965,167,Rockwell-Standard,361.6,24.9
1965,168,OfficeMax,361.6,14.9
1965,169,Armstrong Holdings,360.8,32
1965,170,Ingersoll-Rand,358.8,33.6
1965,171,Crane,357.8,5.5
1965,172,Kellogg,349.1,32.6
1965,173,Clark Equipment,347.7,21.1
1965,174,Furniture Brands Intl.,345.7,8.4
1965,175,BOC,338.9,18.7
1965,176,Hess Oil & Chemical,337.6,11.7
1965,177,Warner-Lambert,335.3,34
1965,178,Koppers,334.8,9.9
1965,179,Agway,334.5,5.3
1965,180,Timken,334.4,39.8
1965,181,Cudahy,329.6,1.8
1965,182,J.E. Seagram,327.8,20
1965,183,Corning,327.6,35
1965,184,Texas Instruments,327.6,18
1965,185,Carrier,324.9,10.8
1965,186,LTV,322.9,4.9
1965,187,GATX,322.4,23.7
1965,188,Intl. Multifoods,320.4,4.7
1965,189,Rohm & Haas,319.7,33.5
1965,190,Studebaker-Worthington,318.4,7.8
1965,191,USG,315.6,43
1965,192,Sherwin-Williams,313.5,17.1
1965,193,Fruehauf,312.7,17.8
1965,194,Cerro,308.4,26
1965,195,Combustion Engineering,305.2,8.1
1965,196,Brunswick,302.2,0.6
1965,197,Westvaco,301.9,13.6
1965,198,Northrop Grumman,301.8,6.8
1965,199,Richfield Oil,301.5,21.5
1965,200,Mack Trucks,300.2,3.4
1965,201,A.O. Smith,299.9,1.9
1965,202,Owens Corning,299.8,17.2
1965,203,Avon Products,299.4,39.8
1965,204,Gillette,299,37.7
1965,205,Diamond International,298.1,19.4
1965,206,Republic Aviation,297.4,-8.9
1965,207,Consolidation Coal,297.3,33.8
1965,208,Oscar Mayer,296,7.9
1965,209,Liggett Group,293.2,26.2
1965,210,Allegheny International,292.6,15.9
1965,211,Archer Daniels Midland,291.7,3.3
1965,212,Walter Industries,291,5.7
1965,213,"Libby, McNeill & Libby",289.7,6.1
1965,214,Merck,286.7,44.9
1965,215,Dart Industries,284,16.3
1965,216,Crucible Steel,283.4,9.8
1965,217,Kaiser Steel,281.8,12.2
1965,218,Collins Radio,281,2.4
1965,219,Stauffer Chemical,279,23.9
1965,220,Flintkote,278.3,14.9
1965,221,ACF Industries,277.7,13.3
1965,222,Ethyl,277.5,19.8
1965,223,M. Lowenstein,277.1,3.6
1965,224,Lorillard,276.7,25.3
1965,225,Cannon Mills,270.5,17.1
1965,226,Sterling Drug,268.5,29.2
1965,227,Xerox,268,38.5
1965,228,Rath Packing,267.1,0.4
1965,229,Bristol-Myers Squibb,265,23.1
1965,230,Eli Lilly,264.1,31.7
1965,231,Revere Copper & Brass,264,9.2
1965,232,H.K. Porter,263,5.1
1965,233,Studebaker,261.8,8.1
1965,234,Interlake,259.6,13.1
1965,235,Dresser Industries,259.5,12.6
1965,236,Newport News Shipbuilding,258.2,7.6
1965,237,Wheeling Pittsburgh,257.9,2.8
1965,238,Union Camp,257.9,19.6
1965,239,Glidden,257.7,9.1
1965,240,National Gypsum,257.1,22
1965,241,Skelly Oil,256.9,25.6
1965,242,GK Technologies,255.5,14.9
1965,243,American Bakeries,253,3.7
1965,244,Grinnell,252.7,10.6
1965,245,PepsiCo,252.5,18.6
1965,246,Eltra,252.2,9.6
1965,247,Norton,250.6,18.2
1965,248,Kerr-McGee,250.1,20.7
1965,249,Hoover,248.8,14.1
1965,250,Essex International,248.6,9.9
1965,251,Brown Shoe,247.4,12.4
1965,252,Springs Industries,245.2,18.3
1965,253,AM International,244.7,17.1
1965,254,Land O'Lakes,243.8,7.4
1965,255,Westinghouse Air Brake,243.3,12.1
1965,256,Abex,241.5,9.8
1965,257,McLouth Steel,240.2,18
1965,258,Aeroquip-Vickers,239.5,34.1
1965,259,Jos. Schlitz Brewing,238.7,14
1965,260,Cone Mills,237.4,9.5
1965,261,Paccar,236.8,10.8
1965,262,Farmland Industries,236.3,14.9
1965,263,Campbell Taggart,231.2,6.6
1965,264,Tecumseh Products,230.3,11.6
1965,265,Budd,229.5,23.9
1965,266,Cluett Peabody,229.3,8.5
1965,267,Magnavox,227.2,13.8
1965,268,Imcera Group,225.7,15.8
1965,269,North American Philips,223.9,8.2
1965,270,Philadelphia & Reading,223.1,9.9
1965,271,Cummins,221.7,14.2
1965,272,Admiral,221.6,4
1965,273,Kelsey-Hayes,220.6,4.9
1965,274,General Precision Equipment,219.5,3.8
1965,275,Emerson Electric,219.3,15
1965,276,US Pharmaceuticals,218.2,38.7
1965,277,Crown Holdings,218.2,11.1
1965,278,Case,217.9,13.2
1965,279,Kayser-Roth,214.5,8.2
1965,280,Abbott Laboratories,212.6,22.6
1965,281,R.R. Donnelley & Sons,211.1,17.3
1965,282,Midland-Ross,211.1,8.7
1965,283,Hooker Chemical,211,19.2
1965,284,Pharmacia,209.7,29.6
1965,285,CF&I Steel,209.6,6.1
1965,286,Thiokol,209.1,4.2
1965,287,USM,208.7,10.2
1965,288,Hershey Foods,207.1,22.7
1965,289,Stokely-Van Camp,205.1,4.4
1965,290,"Parke, Davis",204.6,26.2
1965,291,Sunshine Biscuits,200.8,7.3
1965,292,Engelhard Industries,199.7,5.4
1965,293,Revlon,197.2,10.9
1965,294,Link-Belt,197.1,9.3
1965,295,Scovill,195.6,5.4
1965,296,Sunbeam/Oster,194.5,14.6
1965,297,Times Mirror,193.8,11.4
1965,298,McGraw-Hill,193.4,15.2
1965,299,Emhart,192.9,16.7
1965,300,GAF,192.2,10.7
1965,301,Federal-Mogul,191.6,16.6
1965,302,Inmont,190.9,12.6
1965,303,Peabody Coal,188.7,21.3
1965,304,Lear Siegler,187,5.2
1965,305,Squibb,186.6,14.7
1965,306,Dan River,185.7,9.2
1965,307,WestPoint Stevens,185.1,8.3
1965,308,Carborundum,184.6,11.2
1965,309,Frito-Lay,184,7.8
1965,310,ESB,183.1,8.9
1965,311,Potlatch,182.9,6.5
1965,312,Castle & Cooke,182.2,7.8
1965,313,Evans Products,181.8,5.7
1965,314,Iowa Beef Processors,181.7,2.7
1965,315,Foster Wheeler,181.6,1.6
1965,316,Richardson-Vicks,180.3,17.8
1965,317,Fairmont Foods,180.2,5.2
1965,318,Continental Motors,179,1.7
1965,319,Maxus Energy,178.5,13.2
1965,320,Staley Continental,178,4.3
1965,321,Merritt-Chapman & Scott,177.4,12.5
1965,322,Gerber Products,176.8,11.7
1965,323,Amsted Industries,176.1,9.9
1965,324,Ex-Cell-O,175.8,14
1965,325,Akzona,174.4,13.7
1965,326,Pittsburgh Steel,174.3,6.2
1965,327,Blaw-Knox,172.8,3.7
1965,328,Chemetron,172.2,9.4
1965,329,Bell & Howell,171.6,5
1965,330,Bemis,171.6,3.7
1965,331,Cincinnati Milacron,171.3,7.7
1965,332,Rockwell Manufacturing,171.1,11
1965,333,Eastern Gas & Fuel Associates,170.3,8.9
1965,334,Outboard Marine,170,8.1
1965,335,Schenley Industries,168.8,10.4
1965,336,Hupp,168.6,2.8
1965,337,Coltec Industries,164.4,3
1965,338,Anchor Hocking,164.3,7.6
1965,339,General Host,164.2,1
1965,340,Amerada Hess,163.5,51.6
1965,341,Ward Foods,163.2,-1.5
1965,342,Time Warner,161.6,6.5
1965,343,Granite City Steel,161.3,11.1
1965,344,Purex Industries,160.8,8.4
1965,345,Pabst Brewing,160.7,10
1965,346,Sharon Steel,160.7,2.4
1965,347,Indian Head,158.4,3
1965,348,McCall,158.3,4.6
1965,349,Curtiss-Wright,157.3,8.9
1965,350,Interstate Brands,157.3,3.2
1965,351,Simmons,156.7,5.6
1965,352,Stanley Warner,156.3,4.6
1965,353,FINA,155.2,1.6
1965,354,Square D,155,20.5
1965,355,Cyclops Industries,154.7,7.5
1965,356,ITT Rayonier,154.7,18.6
1965,357,Standard Packaging,154.4,2.2
1965,358,Murphy Oil,154,4.3
1965,359,Cutler-Hammer,152.3,7.9
1965,360,Thomas J. Lipton,151.2,9.4
1965,361,U.S. Pipe & Foundry,150.4,6.6
1965,362,Kern County Land,150,18.1
1965,363,Kendall,149.4,7.2
1965,364,Allied Mills,147.8,2.6
1965,365,National Can,147.2,3.8
1965,366,CBI Industries,145,7.2
1965,367,Packaging Corp. of America,144.8,6.4
1965,368,Pennwalt Corp,144.4,9.2
1965,369,Mohasco,144.4,5.1
1965,370,Beaunit,144.2,5.2
1965,371,Hartmarx,143.6,5.3
1965,372,Stanley Works,142.4,4.6
1965,373,Pacolet Industries,140.3,1.7
1965,374,Ampex,140,7
1965,375,Falstaff Brewing,139.5,7
1965,376,Curtis Publishing,139.4,-13.9
1965,377,Fairchild Camera & Instrument,138.7,2.6
1965,378,Vulcan Materials,138.3,9.7
1965,379,Polaroid,138.2,18.3
1965,380,Consolidated Cigar,137.9,12.5
1965,381,Baldwin-Lima-Hamilton,137,3.2
1965,382,Trane,136.9,10.2
1965,383,New York Times,136.7,4.3
1965,384,Witco,135.7,6
1965,385,Hanna Mining,135.6,14.1
1965,386,Fieldcrest Cannon,134.6,6.7
1965,387,Armstrong Rubber,134.3,5
1965,388,American Chain & Cable,133.9,7.2
1965,389,Universal American,133.2,-3.5
1965,390,Great Western Sugar,132.9,10
1965,391,Cowles Communications,132.5,3.8
1965,392,Di Giorgio,132.4,2.5
1965,393,Stewart-Warner,132.2,9.6
1965,394,KVP Sutherland Paper,132.1,5.6
1965,395,Keystone Consolidated Industries,132,7
1965,396,Ruberoid,131.4,5.1
1965,397,Certainteed,131.1,5.2
1965,398,Western Publishing Group,130.7,6.8
1965,399,Eagle-Picher Industries,130.7,4.3
1965,400,Inland Container,130.3,8
1965,401,I-T-E Imperial,129.6,3.9
1965,402,American Biltrite Rubber,129.3,7.8
1965,403,Jonathan Logan,128.5,6.9
1965,404,Rohr,128.5,2.6
1965,405,Riegel Paper,128.4,6
1965,406,Joy Technologies,128,5.9
1965,407,Hammermill Paper,127.8,5.6
1965,408,Maremont,127.3,3.8
1965,409,Endicott Johnson,127.1,1.3
1965,410,Keebler,126.7,1.1
1965,411,Lone Star Industries,126.4,14.4
1965,412,Chesebrough-Pond's,126,9.8
1965,413,Colorado Milling & Elevator,125.6,1.2
1965,414,Ideal Basic Industries,125.4,15.5
1965,415,Hewlett-Packard,124.9,9.4
1965,416,Safety-Kleen,124.7,2.4
1965,417,Maytag,124.4,16.2
1965,418,Champion Spark Plug,124.3,16.7
1965,419,Kellwood,123.9,2.3
1965,420,Harsco,123.7,12.2
1965,421,Woodward Iron,123.6,9.5
1965,422,Cessna Aircraft,122.9,7.5
1965,423,Fibreboard,122.4,4.6
1965,424,Southern States Cooperative,121.7,3
1965,425,Control Data,121.4,6.1
1965,426,Wm. Wrigley Jr.,120.7,11.6
1965,427,Houdaille Industries,120.3,5.4
1965,428,Bliss (E.W.),120.2,4.3
1965,429,Lukens Steel,120.1,6.8
1965,430,Collins & Aikman,119.7,4.7
1965,431,Calumet & Hecia,119.7,3.5
1965,432,International Pipe & Ceramics,119.5,5.4
1965,433,National Sugar Refining,119.3,-4.9
1965,434,Rheem Manufacturing,119.2,5.5
1965,435,American Optical,119.2,4.7
1965,436,Handy & Harman,118.4,1.5
1965,437,Miles Laboratories,118.4,6.9
1965,438,Wyandotte Chemicals,118.4,7.4
1965,439,Copperweld Steel,118.3,6.4
1965,440,Reichhold Chemicals,117.2,3.6
1965,441,Ekco Products,117.1,7.6
1965,442,Canada Dry,117,4.6
1965,443,Grolier,116.4,7.9
1965,444,Trans Union,115.7,12.2
1965,445,Cabot,115.5,6.2
1965,446,Koehring,115.1,6.1
1965,447,Standard Pressed Steel,114.5,2.8
1965,448,Harbison-Walker Refractories,114.3,11.8
1965,449,Royal McBee,113.7,1.9
1965,450,MacMillan,112.8,7
1965,451,Arvin Industries,112.7,5
1965,452,Chicago Pneumatic Tool,112.6,11.6
1965,453,Clevite,112.1,8
1965,454,Island Creek Coal,112,7.1
1965,455,Warwick Electronics,112,1.5
1965,456,Air Products & Chem.,111.2,6.3
1965,457,Botany Industries,111.1,1.3
1965,458,Olivetti Underwood,110.1,0.2
1965,459,St. Joseph Lead,109.5,20.2
1965,460,U.S. Industries,108.5,1.9
1965,461,Roper,108.2,3.3
1965,462,U.S. Shoe,108.1,6.3
1965,463,Wagner Electric,108,2.9
1965,464,Howmet,108,2.5
1965,465,Miehle-Goss-Dexter,107.7,7.2
1965,466,Beech Aircraft,107.2,3.4
1965,467,Gardner-Denver,107.2,12.3
1965,468,Commonwealth Oil Refining,106.9,11.8
1965,469,Superior Oil,106.8,13.3
1965,470,Bell Intercontinental,105.9,1
1965,471,Universal Match,105.5,4.7
1965,472,Rexnord,105.3,5.9
1965,473,Premcor,104.6,2.1
1965,474,Cooper Industries,104.5,4.8
1965,475,Farmers Union Central Exchange,104.4,7.5
1965,476,Hobart,104.2,7.4
1965,477,Bucyrus-Erie,104,7.7
1965,478,Insilco,103.5,5
1965,479,Flavorland Industries,103.2,0.4
1965,480,Pepperell Manufacturing,103.2,3.9
1965,481,Electrolux,103.1,7.7
1965,482,Joy Global,102.9,2.5
1965,483,Schering-Plough,102.6,12
1965,484,Raybestos-Manhattan,101.9,5.5
1965,485,Alberto-Culver,101.6,4.2
1965,486,Seaboard,101.5,N.A.
1965,487,Harris,101.3,7.7
1965,488,Federal Paper Board,101.1,2.4
1965,489,Black & Decker,101,9.2
1965,490,Robertson-Ceco,100.9,3.5
1965,491,Reeves Brothers,100.1,1.9
1965,492,Nebraska Consolidated Mills,99.7,2.7
1965,493,Bibb Manufacturing,99.6,5.9
1965,494,Todd Shipyards,99.5,1.2
1965,495,Ceco Industries,98.7,3.1
1965,496,Glen Alden,98.6,9.8
1965,497,Pitney Bowes,98.5,8.1
1965,498,Lily-Tulip Cup,98.2,5.9
1965,499,Detroit Steel,97.4,5.2
1965,500,Draper,97.1,6
1966,1,General Motors,20734,2125.6
1966,2,Ford Motor,11536.8,703
1966,3,Exxon Mobil,11471.5,1035.7
1966,4,General Electric,6213.6,355.1
1966,5,Chrysler,5299.9,233.4
1966,6,Mobil,4907.5,320.1
1966,7,U.S. Steel,4399.6,275.5
1966,8,Texaco,3779.4,636.7
1966,9,Intl. Business Machines,3572.8,476.9
1966,10,Gulf Oil,3384.7,427.2
1966,11,AT&T Technologies,3362.1,168.3
1966,12,DuPont,3020.8,407.2
1966,13,Esmark,2751,16.4
1966,14,Bethlehem Steel,2579.4,150
1966,15,Shell Oil,2562.2,234
1966,16,Amoco,2472,219.3
1966,17,ChevronTexaco,2442.5,391.2
1966,18,CBS,2389.9,106.9
1966,19,Navistar International,2336.7,100.6
1966,20,Goodyear Tire & Rubber,2226.3,109.2
1966,21,Union Carbide,2063.9,226.9
1966,22,Armour,2061.7,18.2
1966,23,Procter & Gamble,2058.6,133.2
1966,24,RCA,2042,101.2
1966,25,General Telephone & Electronics,2035.6,166.8
1966,26,Boeing,2023,78.3
1966,27,Kraft,2017.3,69.9
1966,28,Rockwell Automation,2010.5,45.8
1966,29,Lockheed Martin,1814.1,53.7
1966,30,ITT Industries,1782.9,76.1
1966,31,Firestone Tire & Rubber,1609.8,86.7
1966,32,General Foods,1478.1,86.3
1966,33,General Dynamics,1472.8,49.3
1966,34,Monsanto,1468.1,123
1966,35,Eastman Kodak,1463.5,247.6
1966,36,ConocoPhillips,1450.7,127.7
1966,37,Conoco,1449.7,96.2
1966,38,United Technologies,1429.7,49
1966,39,Caterpillar,1405.3,158.5
1966,40,Borden Chemical,1385.5,50.9
1966,41,Republic Steel,1374.5,77.3
1966,42,Burlington Industries Equity,1313.3,68.6
1966,43,International Paper,1303.7,88.5
1966,44,Sinclair Oil,1275.5,76.7
1966,45,American Can,1265.1,62.1
1966,46,Sperry,1247.6,22
1966,47,Unocal,1234,119.2
1966,48,Continental Group,1225.6,59.2
1966,49,Uniroyal,1225.5,37.2
1966,50,Citgo Petroleum,1200.8,104.1
1966,51,ARMCO,1188.5,93.5
1966,52,Dow Chemical,1176.2,108.1
1966,53,Alcoa,1165.6,75.6
1966,54,Honeywell Intl.,1121.3,84.3
1966,55,National Intergroup,1107.2,87.5
1966,56,Tenneco Automotive,1037.9,95.3
1966,57,McDonnell Douglas,1007.8,32
1966,58,Nabisco Group Holdings,1004,133.4
1966,59,Sealed Air,1003.1,45.3
1966,60,3M,1000.3,116.4
1966,61,Anaconda,993.9,79.5
1966,62,Jones & Laughlin Steel,992.7,53.3
1966,63,American Motors,990.6,5.2
1966,64,Goodrich,980.1,40.7
1966,65,Singer,979.8,44.5
1966,66,Bestfoods,978.5,54.7
1966,67,Ryerson Tull,967.6,68.4
1966,68,Ralston Purina,954.8,29.5
1966,69,GenCorp,949.7,42.6
1966,70,FMC,929,57.7
1966,71,Sunoco,925.2,84.8
1966,72,Litton Industries,915.6,39.8
1966,73,PPG Industries,897.5,58.1
1966,74,Deere,886.6,55.8
1966,75,Olin,874.2,50.5
1966,76,Coca-Cola,864,75.7
1966,77,American Cyanamid,863,93.1
1966,78,Celanese,862.3,65
1966,79,Colgate-Palmolive,862.1,28
1966,80,Grumman,852,20.9
1966,81,Textron,851,29.1
1966,82,Owens-Illinois,825.8,67.2
1966,83,Wilson,815.2,9.2
1966,84,BorgWarner,815.1,45.4
1966,85,Youngstown Sheet & Tube,768.9,51.6
1966,86,Douglas Aircraft,766.8,14.6
1966,87,J.P. Stevens,760,29.4
1966,88,NL Industries,758.3,58.7
1966,89,Bendix,754.4,28.2
1966,90,Wyeth,751,76.5
1966,91,Reynolds Metals,739.8,52.6
1966,92,NCR,736.8,24.7
1966,93,Weyerhaeuser,721.4,83.4
1966,94,Allis-Chalmers,714.4,22.1
1966,95,Campbell Soup,712.8,51.4
1966,96,Crown Zellerbach,712.7,47.4
1966,97,Fortune Brands,707.2,80.5
1966,98,Tidewater Oil,706.3,57.2
1966,99,Genesco,705.2,18.9
1966,100,Eaton,701.7,34.9
1966,101,Honeywell,700.4,37.5
1966,102,Morrell (John),690.6,-0.3
1966,103,Atlantic Richfield,687.7,66.2
1966,104,Beatrice,681.4,18
1966,105,Signal Companies,670.5,28.3
1966,106,Kennecott,666.2,102
1966,107,TRW,664.5,29
1966,108,Pullman,654.4,20.6
1966,109,White Motor,638.2,22.4
1966,110,Standard Brands,637.6,25.4
1966,111,St. Regis,635.2,39.3
1966,112,Whirlpool,630.7,35.9
1966,113,Nabisco Brands,627.3,38.4
1966,114,Asarco,614.5,56.2
1966,115,Martin Marietta,603.1,30.5
1966,116,BP America,581.6,49.7
1966,117,Kimberly-Clark,577.4,35
